SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
1,2,2BHK Builder Floor Apartment for New Property in Uttam Nagar,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near metro station. 5 min walking distance from metro station.
2,3,"3BHK Builder Floor Apartment for New Property in Hemkunt Colony, Greater Kailash",Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Nearest Pamposh Enclave.
3,3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at New Moti Nagar, Kirti Nagar",Apartment,3,3,4,"New Delhi, Delhi N",New Delhi,Delhi N,India,3BHK with 3bathrooms apartment is available in DLF capital greens Moti
4,2,2BHK Builder Floor Apartment for New Property in Dwarka Mor,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Uttam nagar westpillar no 707ram nagar road
5,3,3BHK Builder Floor Apartment for Resale in Anand Vihar,Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Anand Vihar Metro Station
6,3,3BHK Multistorey Apartment for Resale in Risland Sky Mansion at Chattarpur,Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,"MehrauliGurugram road, Ambience Mall, IGI airport"
7,3,3BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,rohini sec 3
8,3,3BHK Multistorey Apartment for Resale in IFS Apartments at Mayur Vihar 1,Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Mool Chand
9,2,2BHK Multistorey Apartment for Resale in Saket,Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,IGNOU road
10,4,4BHK Multistorey Apartment for Resale in Guru Apartment at Sector 6 Dwarka,Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,sports complex
11,3,3BHK Builder Floor Apartment for New Property in Safdarjung Enclave,Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near all amenities
12,3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,3,2,4,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near CTC Mall
13,3,"3BHK Builder Floor Apartment for Resale in Kishangarh, Vasant Kunj",Builder Floor Apartment,3,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Near car market, esi dispensary."
14,1,1BHK Multistorey Apartment for Resale in Ganesh Nagar 1,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Akshardham Metro Station
15,2,"2BHK Builder Floor Apartment for New Property in Om Vihar, Nawada",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Shiv Dairy
16,2,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dada Dev Mandir
17,2,2BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Kali Bari Mandir
18,2,"2BHK Builder Floor Apartment for Resale in Sherpur, Mustafabad",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,adarsh lakhapat School
19,1,"1BHK Builder Floor Apartment for Resale in Bhagwati Vihar, Uttam Nagar",Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Bhagawati Vihar Chowk
20,1,1BHK Builder Floor Apartment for Resale in Shahdara,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Teliwara gurudwara Shahdara
21,2,2BHK Builder Floor Apartment for Resale in Main Rajapuri Road,Builder Floor Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Bansal medicos
22,4,"4BHK Multistorey Apartment for Resale in Sukhdev Vihar, Okhla",Apartment,4,4,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Fortis Escort Hospital
23,3,3BHK Multistorey Apartment for Resale in RWA Block C2 Janakpuri at Janakpuri,Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Dabri mor
24,2,2BHK Multistorey Apartment for Resale in Matiala Extension,Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Tiranga Chauk
25,2,2BHK Multistorey Apartment for Resale in Archana Apartment at Paschim Vihar,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Nearby Peera Garhi Chowk and A1 Lal Market
26,2,"2BHK Builder Floor Apartment for Resale in Anarkali Colony, Krishna Nagar",Builder Floor Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Kabilla chowk
27,2,2BHK Multistorey Apartment for Resale in Uttari Pitampura,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,keshav mahavidyalaya
28,2,2BHK Multistorey Apartment for Resale in Block D Saket,Apartment,2,1,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Anupam pvr
29,2,"2BHK Builder Floor Apartment for Resale in Jangpura Extension, Jangpura",Builder Floor Apartment,2,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Eros Cinema
30,3,3BHK Multistorey Apartment for Resale in Vikassheel Apartment at Sector 13 Rohini,Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,North Ex mall
31,1,1BHK Builder Floor Apartment for Resale in Malviya Nagar,Builder Floor Apartment,1,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
32,2,2BHK Multistorey Apartment for Resale in Everest Apartment at Kalkaji,Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sri satya sai vidya vihar school
33,1,1BHK Multistorey Apartment for Resale in Sector 34 Rohini,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
34,2,2BHK Multistorey Apartment for Resale in Project Amar Colony at Lajpat Nagar,Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Tagore international school
35,4,4BHK Builder Floor Apartment for Resale in Deep Vihar Rohini,Builder Floor Apartment,4,3,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Adarsh hospital
36,3,3BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Uttam Nagar West metro station
37,1,1BHK Multistorey Apartment for Resale in Kondli,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Near Hanuman Mandir, Dairy farm"
38,2,2BHK Builder Floor Apartment for Resale in Narayan Nagar,Builder Floor Apartment,2,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Laxmi Nagar,Near Lalita Park"
39,3,3BHK Multistorey Apartment for New Property in ,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Mata Bhatee Devi Public School
40,2,2BHK Multistorey Apartment for Resale in Chattarpur,Apartment,2,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,chattarpur temple
41,2,"2BHK Builder Floor Apartment for Resale in Khanpur, Madangir",Builder Floor Apartment,2,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
42,2,2BHK Builder Floor Apartment for Resale in Ghitorni,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Ojo life kitchen
43,2,2BHK Builder Floor Apartment for New Property in Raja Puri Matiala,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Police Buth
44,3,3BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Rajmandir Store
45,2,2BHK Multistorey Apartment for Resale in Pul Pehlad Pur,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Honda Bike Showroom
46,2,"2BHK Builder Floor Apartment for Resale in Chawri Bazar, Chandni Chowk",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,chawri bazar metro station
47,2,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dada Dev Mandir
48,2,2BHK Multistorey Apartment for Resale in Dilshad Garden,Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dilshad Garden Metro
49,2,2BHK Multistorey Apartment for New Property in Nilothi,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Daler mehndi farmhouse
50,3,"3BHK Builder Floor Apartment for Resale in Hudson Lane, GTB Nagar",Builder Floor Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,100m Away from GTB Nagar Metro StationNear to Little Fairy School
51,4,"4BHK Multistorey Apartment for Resale in Mahendru Enclave at Gujranwala Town, Model Town",Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near chatrasaal stadium
52,2,2BHK Multistorey Apartment for Resale in Dilshad Colony,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,St Andrews Public School
53,3,3BHK Multistorey Apartment for Resale in Uttam Nagar Floors at Uttam Nagar,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sunil Dairy
54,3,3BHK Builder Floor Apartment for Resale in Sector 24 Rohini,Builder Floor Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Delhi public school
55,3,"3BHK Builder Floor Apartment for Resale in Sadh Nagar, Palam",Builder Floor Apartment,3,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
56,2,2BHK Builder Floor Apartment for Resale in Laxmi Nagar,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Hanuman mandir
57,2,2BHK Builder Floor Apartment for Resale in Dwarka Mor,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Kotak bank ATM
58,1,1BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Gurudwara bhatta sahib
59,2,2BHK Multistorey Apartment for Resale in DDA Flats Sector C Pocket 9 at Vasant Kunj,Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
60,2,2BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Nawada Metro station
61,1,1BHK Builder Floor Apartment for Resale in Mandawali,Builder Floor Apartment,1,1,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Gouri Shankar Mandir
62,3,"3BHK Builder Floor Apartment for Resale in Chand Nagar, Vishnu Garden",Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Sunil Dairy
63,1,1BHK Multistorey Apartment for Resale in DDA Pocket Q at Dilshad Garden,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
64,3,3BHK Multistorey Apartment for New Property in Vigyapan Lok Apartments at Mayur Vihar 1,Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Just behind Mayur Vihar Extn. Metro Station and opp. Star City Mall.
65,2,2BHK Multistorey Apartment for Resale in Rwa GK 1 at Greater Kailash 1,Apartment,2,2,,"New Delhi, Delhi N",New Delhi,Delhi N,India,M block market
66,3,"3BHK Multistorey Apartment for Resale in Safdarjung Development Area, Hauz Khas",Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Road next to Rose Garden from S.D.A. Market opp. IIT Main Gate
67,2,2BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sagar Chole bhature wala
68,2,2BHK Multistorey Apartment for Resale in Dwarka Mor,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
69,3,3BHK Multistorey Apartment for Resale in Supreme Enclave at Mayur Vihar 1,Apartment,3,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,mayur vihar metro
70,2,2BHK Builder Floor Apartment for New Property in Sector 20 Rohini,Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,kalika mandir
71,3,"3BHK Multistorey Apartment for Resale in Prashant Vihar, Rohini",Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,North Ex mall
72,2,2BHK Builder Floor Apartment for Resale in Block FB Mansarover Garden,Builder Floor Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Walking to Ramesh Nagar, Rajouri Garden and Mayapuri metro station"
73,2,2BHK Builder Floor Apartment for Resale in Sri Niwaspuri,Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,harekrishna jewellers
74,3,3BHK Builder Floor Apartment for Resale in Block R Mahavir Enclave Part 1,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Dashrathpuri metro station, dwarka, IGI airport, school, hospital"
75,2,2BHK Multistorey Apartment for Resale in Kadambari Apartments at Sector 9 Rohini,Apartment,2,2,,"New Delhi, Delhi N",New Delhi,Delhi N,India,North Ex mall
76,3,3BHK Builder Floor Apartment for Resale in Arjun Nagar Safdarjung Enclave,Builder Floor Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
77,2,2BHK Builder Floor Apartment for Resale in Govindpuri,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,divyanshi public school
78,2,"2BHK Builder Floor Apartment for Resale in Sadh Nagar, Palam",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Kailash Puri bus stand
79,2,2BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Universal Public School
80,1,1BHK Multistorey Apartment for Resale in Sangam Vihar Wazirabad,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Divine Hospital
81,2,"2BHK Builder Floor Apartment for Resale in Vishwakarma Colony, Mehrauli Badarpur Road",Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,kamal medicos
82,2,2BHK Builder Floor Apartment for Resale in Raja Puri Matiala,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sunil Dairy
83,2,2BHK Multistorey Apartment for Resale in DDA Red MIG Flats at Rajouri Garden,Apartment,2,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,"Pacific mall , 2 metro stations are just walk away"
84,3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,
85,1,1BHK Builder Floor Apartment for Resale in Kalu Sarai,Builder Floor Apartment,1,1,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
86,2,2BHK Builder Floor Apartment for Resale in Sector 22 Rohini,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,gd Goenka Public School
87,2,"2BHK Multistorey Apartment for Resale in Lajwanti Garden, Janakpuri",Apartment,2,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,A maintained park in the front with a walking trail  market  rear.
88,2,2BHK Multistorey Apartment for Resale in Sector 23 Dwarka,Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
89,3,3BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Arya Samaj Road, Uttam Nagar West Metro station, Hospital, Schools"
90,2,2BHK Multistorey Apartment for Resale in Tilak Nagar,Apartment,2,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Tummy section
91,2,"2BHK Builder Floor Apartment for Resale in Vipin Garden, Nawada",Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Metro pillar No 798
92,3,3BHK Builder Floor Apartment for Resale in Shaheen bagh,Builder Floor Apartment,3,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
93,3,3BHK Multistorey Apartment for Resale in Neelamber Apartments at Sainik Vihar Pitam Pura,Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,kendriya vidyalaya
94,2,2BHK Multistorey Apartment for Resale in DDA Flats Pocket 5 at Mayur Vihar 1,Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Sanjay Lake metro
95,2,2BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Uttam Nagar West metro station
96,4,4BHK Builder Floor Apartment for New Property in Paschim Vihar,Builder Floor Apartment,4,5,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,G D Goenka School
97,3,3BHK Multistorey Apartment for Resale in Dwarka,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Garg store
98,4,4BHK Builder Floor Apartment for Resale in Balaji apartment at Sector 14 Rohini,Builder Floor Apartment,4,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Maxfort school
99,4,4BHK Builder Floor Apartment for Resale in New Friends Colony,Builder Floor Apartment,4,4,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,cambridge school
100,3,3BHK Builder Floor Apartment for Resale in Yamuna Vihar,Builder Floor Apartment,3,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,yamuna vihar metro
101,2,2BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,kendriya vidyalaya
102,3,3BHK Builder Floor Apartment for New Property in Madhu Vihar,Builder Floor Apartment,3,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,lakshmi bartan bhandar
103,1,1BHK Multistorey Apartment for Resale in Phase 3 Mayur Vihar,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Located within walking distance to the Mayur Vihar Phase 3 Bus Stand.
104,4,4BHK Builder Floor Apartment for Resale in Block G Saket,Builder Floor Apartment,4,4,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Bank of India
105,2,2BHK Multistorey Apartment for Resale in Unity the Amaryllis at Karol Bagh,Apartment,2,2,4,"New Delhi, Delhi N",New Delhi,Delhi N,India,Karol bhag metro
106,2,2BHK Multistorey Apartment for Resale in Sector 22 Rohini,Apartment,2,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
107,1,1BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
108,3,"3BHK Builder Floor Apartment for Resale in Tagore Garden, Rajouri Garden, Najafgarh Road",Builder Floor Apartment,3,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Tagore Garden
109,2,2BHK Builder Floor Apartment for Resale in Dwarka Mor,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,ICICI Bank
110,2,2BHK Builder Floor Apartment for Resale in Laxmi Nagar,Builder Floor Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Laxmi Nagar metro
111,4,4BHK Builder Floor Apartment for Resale in Pocket 2 Mayur Vihar,Builder Floor Apartment,4,2,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,"Opposite to RWA office Pocket-2, Opposite gate of Mayur Vihar Phase1 police station"
112,2,2BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
113,3,3BHK Multistorey Apartment for Resale in Dwarka,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dwarka Mor Metro station
114,2,2BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,2,,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
115,2,2BHK Builder Floor Apartment for Resale in Panchsheel Park,Builder Floor Apartment,2,3,,"New Delhi, Delhi N",New Delhi,Delhi N,India,panchsheel park metro
116,3,3BHK Builder Floor Apartment for Resale in Mehrauli,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
117,3,3BHK Multistorey Apartment for Resale in Vasant Kunj,Apartment,3,2,,"New Delhi, Delhi N",New Delhi,Delhi N,India,
118,3,3BHK Multistorey Apartment for Resale in Mahindra Park,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,navjeevan model public school
119,1,1BHK Multistorey Apartment for Resale in Todapur,Apartment,1,1,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"The property is near central delhi, with karol bagh only 10 min drive."
120,4,4BHK Multistorey Apartment for Resale in DDA Aravali Apartments at Alaknanda,Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,
121,3,"3BHK Builder Floor Apartment for Resale in Kiran Garden, Uttam Nagar",Builder Floor Apartment,3,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Hanuman Mandir
122,3,3BHK Multistorey Apartment for Resale in Phase 2 Chattarpur Enclave,Apartment,3,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
123,4,4BHK Builder Floor Apartment for New Property in Swasthya Vihar,Builder Floor Apartment,4,4,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Preet vihar metro
124,4,4BHK Multistorey Apartment for Resale in Greater Kailash,Apartment,4,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,greater kailash metro
125,3,3BHK Builder Floor Apartment for Resale in Rajouri Garden,Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Gurudwara singh sabha
126,3,3BHK Builder Floor Apartment for New Property in West Patel Nagar,Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Patel Nagar Metro Station
127,2,2BHK Multistorey Apartment for Resale in Lajpat Nagar 2,Apartment,2,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Arya samaj temple
128,3,3BHK Multistorey Apartment for Resale in Navkunj Apartment at Patparganj,Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Next to exta appartments on mother dairy road.
129,2,"2BHK Builder Floor Apartment for Resale in Sewak Park, Dwarka",Builder Floor Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
130,4,"4BHK Builder Floor Apartment for Resale in Ambika Vihar at Ambica Vihar, Paschim Vihar",Builder Floor Apartment,4,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
131,2,2BHK Penthouse for Resale in Green Park Extension,Penthouse,2,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,AIIMS Trauma Centre
132,3,3BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,aggarwal sweats
133,1,1BHK Builder Floor Apartment for Resale in Phase 1 Model Town,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Model town metro
134,1,1BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
135,3,3BHK Builder Floor Apartment for Resale in Sector 5 Rohini,Builder Floor Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
136,2,2BHK Multistorey Apartment for Resale in Nav Shakti Apartments at Ghitorni,Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,ghitorni metro
137,4,4BHK Multistorey Apartment for Resale in C Block RWA Flats Chittranjan Park at Kalkaji,Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,
138,3,3BHK Multistorey Apartment for Resale in Khirki Extension,Apartment,3,3,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,apeejay school
139,3,3BHK Multistorey Apartment for Resale in RWA Khirki Ext at Khirki Extension,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
140,2,2BHK Multistorey Apartment for Resale in Project Sansad Vihar at Pitam Pura,Apartment,2,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Outer ring road.
141,3,3BHK Builder Floor Apartment for Resale in Block 2 Subhash Nagar,Builder Floor Apartment,3,4,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Rear chatri wala park
142,3,3BHK Multistorey Apartment for Resale in Anandlok Housing Society at Mayur Vihar 1,Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Sikka Plaza
143,3,3BHK Builder Floor Apartment for Resale in Block A Vijay Enclave,Builder Floor Apartment,3,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dashrathpuri metro station and Jindal public school near Maruti suzuki showroom
144,2,"2BHK Builder Floor Apartment for Resale in Rana Pratap Bagh, Ashok Vihar North",Builder Floor Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,ashok vihar metro
145,3,3BHK Builder Floor Apartment for Resale in New Rajendra Nagar,Builder Floor Apartment,3,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,"Oppositie Sai Mandir, 2km away Rajinder Palace"
146,3,3BHK Builder Floor Apartment for Resale in Block J Rajouri Garden,Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Kalyan Jewellers
147,2,2BHK Builder Floor Apartment for Resale in Block C Bhajanpura,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Bhajanpura metro
148,2,"2BHK Multistorey Apartment for Resale in Rajpur Khurd Extension, Rajpur",Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
149,3,3BHK Multistorey Apartment for Resale in DDA LIG Flats at Prasad Nagar,Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,
150,5,5BHK Builder Floor Apartment for Resale in Chattarpur Enclave,Builder Floor Apartment,5,4,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,
151,3,"3BHK Builder Floor Apartment for Resale in Uttam Nagar East, Uttam Nagar",Builder Floor Apartment,3,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
152,3,3BHK Multistorey Apartment for Resale in Swastik Apartments at Chattarpur,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,oodles hotel
153,2,"2BHK Builder Floor Apartment for Resale in Rama Park, Nawada",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sharma Sweets
154,3,3BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Nirankari bhawan
