SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
2843,2,2BHK Multistorey Apartment for Resale in Gagan Ela at NIBM Road,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2844,3,3BHK Multistorey Apartment for Resale in Meghvarsha at Warje,Apartment,3,3,3,"Pune, Maharashtra",Pune,Maharashtra,India,"Premium society on Mumbai-Bangalore highway beside Shell Pump, Warje"
2845,1,1BHK Multistorey Apartment for Resale in ,Apartment,1,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2846,1,1BHK Multistorey Apartment for Resale in Lavale Road,Apartment,1,1,2,"Pune, Maharashtra",Pune,Maharashtra,India,Mulshi Multispeciality Hospital
2847,2,2BHK Multistorey Apartment for Resale in Address One at Gahunje,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Mukai Chowk
2848,2,2BHK Multistorey Apartment for Resale in Vaishnavi Mahila Unnati Sanstha at Uruli Devachi,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,
2849,2,2BHK Multistorey Apartment for New Property in Diamond Vishal Paradise at Sector 29 Ravet,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Iskon Temple
2850,2,2BHK Multistorey Apartment for Resale in Aaiji Aura City at Lohegaon,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Jagatguru International School
2851,1,1BHK Multistorey Apartment for Resale in Sadguru Nagar Yashwant Nagar,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Talegaon dabhade
2852,1,1BHK Multistorey Apartment for Resale in Mantra Residency at Chakan,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Rural Hospital
2853,2,2BHK Multistorey Apartment for Resale in Bhagwati Aashiyana at Jai Bhavani Nagar,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Cosmos Bank
2854,3,3BHK Multistorey Apartment for Resale in Keshav Nagar Mundhwa,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,Property is placed between Kharadi and Amanora Park Town
2855,3,3BHK Multistorey Apartment for Resale in Pebbles Urbania at Bavdhan,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,Chellaram Hospital
2856,2,2BHK Multistorey Apartment for Resale in Acme ACME Selene at Pisoli,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Unique Fitness Club
2857,2,2BHK Multistorey Apartment for Resale in Rama Fusion Towers at Hinjawadi,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near TCS IT Company
2858,2,"2BHK Multistorey Apartment for New Property in Majestique Mrugavarsha at DSK Vishwa, Dhayari",Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Hotel Royal
2859,2,2BHK Multistorey Apartment for Resale in Optima Heights at Wagholi,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2860,2,2BHK Multistorey Apartment for Resale in Edenn Tower Cooperative Housing Society at Wakad,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Datta Mandir
2861,1,1BHK Multistorey Apartment for Resale in Ambegaon Pathar Road,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Chintamani School
2862,3,3BHK Multistorey Apartment for Resale in Leisure Town at Hadapsar,Apartment,3,2,6,"Pune, Maharashtra",Pune,Maharashtra,India,Amanora park town
2863,1,1BHK Multistorey Apartment for Resale in Navyangan at Ghotawade Phata,Apartment,1,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2864,2,2BHK Multistorey Apartment for Resale in Gyanganga at Aundh,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2865,2,2BHK Multistorey Apartment for Resale in Shroff Signature Heights at Wakad,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,Near Hotel Tip Top
2866,2,2BHK Multistorey Apartment for Resale in Kondhwa,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,
2867,1,"1BHK Multistorey Apartment for Resale in Balboa Avenue at Ravet, Pimpri Chinchwad",Apartment,1,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Bhondave Lawns Ravet
2868,1,1BHK Multistorey Apartment for Resale in Ambegaon BK,Apartment,1,1,,"Pune, Maharashtra",Pune,Maharashtra,India,Bhairavnath Temple
2869,1,1BHK Multistorey Apartment for Resale in VTP Belair at Mahalunge,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Ariana International school
2870,1,1BHK Multistorey Apartment for Resale in Roshan One at Chakan,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2871,2,2BHK Multistorey Apartment for Other in Tulsiani EstatesHousing  at Sadar Bazaar,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,Pooja Dairy Farm
2872,2,2BHK Multistorey Apartment for Resale in Green Fantasy at Uruli Kanchan,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2873,2,2BHK Multistorey Apartment for Resale in Livogue Lifestyle in Vogue at Hadapsar,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near by Yash Hospital.
2874,1,1BHK Multistorey Apartment for Resale in Dreams Sankalp Phase 2 at Wagholi,Apartment,1,1,2,"Pune, Maharashtra",Pune,Maharashtra,India,Dhanshree Super Market
2875,2,"2BHK Multistorey Apartment for Resale in Sweety Arcade at Meeta Nagar, Kondhwa",Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Jk park chowk
2876,2,2BHK Multistorey Apartment for Resale in Aayush Park at Talegaon Dabhade,Apartment,2,2,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near D Y Patil Engineering College
2877,1,"1BHK Multistorey Apartment for Resale in Wadachi Wadi, Undri",Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2878,3,3BHK Multistorey Apartment for Resale in Alfa Premio at Viman Nagar,Apartment,3,5,2,"Pune, Maharashtra",Pune,Maharashtra,India,Next to Dutta mandir opposite Khalsa Dairy.
2879,2,2BHK Multistorey Apartment for Resale in Rawat Capstone at Undri,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Nyati evara
2880,1,1BHK Multistorey Apartment for Resale in Blithe Icon at Kalubai Nagar Wagholi,Apartment,1,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near GULAAB TAARA PALACE.
2881,2,2BHK Multistorey Apartment for Resale in Pride World City at Charholi BK,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,DY Patil College
2882,3,3BHK Multistorey Apartment for New Property in Aundh,Apartment,3,3,2,"Pune, Maharashtra",Pune,Maharashtra,India,
2883,1,1BHK Multistorey Apartment for Resale in Krushna Kunj at Dehu Road,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,
2884,3,3BHK Multistorey Apartment for New Property in Tulsidas Apartment at Camp,Apartment,3,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,"MG Road, Dorabjees Supermarket, Agyari- Parsi Temple, Shastri Apts"
2885,2,"2BHK Multistorey Apartment for Resale in Sai Prem Park at Pimple Saudagar, Pimpri Chinchwad",Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Near Govind Garden
2886,1,1BHK Multistorey Apartment for Resale in Kesar Tree Town at Moshi,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near Jay Ganesh Lawns
2887,2,"2BHK Multistorey Apartment for Resale in Godrej Park Greens at Mamurdi, Dehu Road",Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Opp to gahunje stadium
2888,2,2BHK Multistorey Apartment for Resale in Alkasa at NIBM Annexe Area,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Mohammadwadi road.
2889,2,2BHK Multistorey Apartment for Resale in Godrej Hillside at Mahalunge,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Ariana International school
2890,2,2BHK Multistorey Apartment for Resale in Talegaon Dabhade,Apartment,2,2,,"Pune, Maharashtra",Pune,Maharashtra,India,Near Shivaji Chowk
2891,1,1BHK Multistorey Apartment for Resale in River Residency at Moshi,Apartment,1,1,1,"Pune, Maharashtra",Pune,Maharashtra,India,Near SNBP School
2892,2,2BHK Multistorey Apartment for Resale in ossover County at Sinhgad Road,Apartment,2,2,2,"Pune, Maharashtra",Pune,Maharashtra,India,Datta Krishnai Mangal Karyalay
