SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
114,,,,,0,2500000
115,Semi-Furnished,North,"1 Covered, 1 Open",Freehold,0,70000000
116,Semi-Furnished,,,,750000,7500000
117,Semi-Furnished,,,,0,33500000
118,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,200000,6900000
119,Furnished,North,1 Open,Freehold,150000,3000000
120,Semi-Furnished,East,1 Open,Freehold,500000,21000000
121,Semi-Furnished,North - East,1 Covered,Freehold,200000,4600000
122,Unfurnished,West,1 Covered,Power Of Attorney,0,9000000
123,Furnished,West,,Freehold,100000,60000000
124,Unfurnished,North - East,,Freehold,15000000,39500000
125,Semi-Furnished,West,,Freehold,5000000,30000000
126,Semi-Furnished,South -West,"1 Covered, 1 Open",Freehold,1000000,35000000
127,Semi-Furnished,,,,0,11500000
128,Semi-Furnished,South,1 Open,Freehold,500000,27000000
129,Furnished,South - East,"1 Covered, 1 Open",Freehold,0,2500000
130,Unfurnished,East,,Freehold,0,32000000
131,Semi-Furnished,North,,Freehold,0,28900000
132,Semi-Furnished,South -West,1 Open,Freehold,1000000,7000000
133,Semi-Furnished,South - East,1 Open,Freehold,100000,7000000
134,Unfurnished,North - East,,Freehold,250000,2500000
135,Semi-Furnished,,,Freehold,0,14000000
136,Semi-Furnished,East,1 Covered,,1000000,5000000
137,Unfurnished,West,,Freehold,1000000,39500000
138,Unfurnished,,,,0,5800000
139,Unfurnished,,,,250000,8500000
140,Unfurnished,East,,Freehold,500000,13000000
141,Unfurnished,West,"1 Covered, 1 Open",Freehold,0,13500000
142,Semi-Furnished,East,"1 Covered, 1 Open",Co-operative Society,100000,23500000
143,Semi-Furnished,West,1 Covered,Freehold,50000,6450000
144,Semi-Furnished,,1 Open,,100000,13500000
145,Semi-Furnished,East,2 Open,Freehold,100000,27500000
146,Furnished,North,,Freehold,500000,18500000
147,Semi-Furnished,North - East,,Freehold,10000,5400000
148,Semi-Furnished,,,,100000,4500000
149,Unfurnished,South -West,,Freehold,100000,10800000
150,Semi-Furnished,South -West,2 Covered,Power Of Attorney,0,12500000
151,Semi-Furnished,,1 Covered,Freehold,640000,3200000
152,Semi-Furnished,,1 Covered,,0,7600000
153,Unfurnished,North,,Freehold,0,1800000
154,Semi-Furnished,,,Freehold,0,6200000
155,Semi-Furnished,North,,Freehold,0,3200000
156,Semi-Furnished,West,,Freehold,0,35000000
157,Unfurnished,East,,Freehold,0,3500000
158,Semi-Furnished,North,,,0,5400000
159,Unfurnished,East,1 Open,Freehold,100000,2900000
160,Furnished,East,1 Open,Freehold,300000,6000000
161,Semi-Furnished,East,,Freehold,0,8200000
162,Furnished,,,,0,2000000
163,Semi-Furnished,North - East,,Freehold,0,1800000
164,Unfurnished,East,,Freehold,100000,12000000
165,Furnished,East,,Freehold,0,2300000
166,Unfurnished,North - East,,Freehold,0,25000000
167,Furnished,West,,Freehold,150000,13500000
168,Semi-Furnished,East,1 Covered,Freehold,0,5800000
169,Semi-Furnished,East,1 Covered,Freehold,0,3200000
170,Semi-Furnished,West,2 Covered,Freehold,0,62500000
171,Semi-Furnished,East,1 Open,Freehold,0,18000000
172,Unfurnished,South -West,,Freehold,0,85000000
173,Semi-Furnished,North - East,1 Open,Freehold,1000000,7000000
174,Unfurnished,East,,Freehold,1000000,24500000
175,Semi-Furnished,West,"1 Covered, 1 Open",Freehold,100000,55000000
176,Semi-Furnished,East,1 Open,Power Of Attorney,100000,13500000
177,Semi-Furnished,,"1 Covered, 1 Open",Freehold,0,17000000
178,Unfurnished,West,,Freehold,0,18500000
179,Unfurnished,North - East,,Freehold,100000,3500000
180,Unfurnished,West,301 Covered,Co-operative Society,0,5500000
181,Semi-Furnished,West,1 Open,Freehold,10000,7200000
182,Unfurnished,,,Leasehold,0,1400000
183,Unfurnished,,,Freehold,0,150000000
184,Semi-Furnished,,"1 Covered, 1 Open",Freehold,500000,24000000
185,Semi-Furnished,North,"1 Covered, 2 Open",Freehold,2000000,14000000
186,Furnished,South,1 Open,Freehold,200000,23000000
187,Semi-Furnished,,,,0,12000000
188,Unfurnished,South,3 Open,Freehold,100000,42500000
189,Unfurnished,North - East,,Freehold,51000,8100000
190,Semi-Furnished,,,,0,20000000
191,Unfurnished,East,,Freehold,500000,6500000
192,Furnished,East,1 Open,Freehold,100000,15600000
193,Unfurnished,North,,Freehold,50000,4200000
194,Semi-Furnished,East,"2 Covered, 1 Open",Freehold,100000,70000000
195,Semi-Furnished,South - East,1 Open,Freehold,0,17500000
196,Unfurnished,,,Freehold,1000000,42000000
197,Unfurnished,North - East,,Freehold,100000,16500000
198,Unfurnished,East,,Freehold,100000,1700000
199,Unfurnished,,,Freehold,0,9200000
200,Semi-Furnished,,,,0,25000000
201,Semi-Furnished,North,,Power Of Attorney,10000,1600000
202,Semi-Furnished,,1 Covered,Freehold,500000,10000000
