SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
1713,Furnished,West,1 Covered,Freehold,100000,6200000
1714,Unfurnished,North - East,1 Covered,Co-operative Society,51000,9000000
1715,Unfurnished,West,,,0,6500000
1716,Unfurnished,,,Freehold,0,6000000
1717,Unfurnished,,,,0,3900000
1718,Semi-Furnished,East,10 Open,Freehold,0,3730000
1719,Semi-Furnished,,,,1000000,8500000
1720,Unfurnished,,1 Open,Freehold,0,20500000
1721,Unfurnished,West,,Freehold,2500000,19900000
1722,Unfurnished,North,1 Covered,Co-operative Society,1000000,37000000
1723,Unfurnished,East,"1 Covered, 1 Open",Freehold,1000000,40000000
1724,Unfurnished,East,,Freehold,100000,6250000
1725,Unfurnished,East,1 Covered,Freehold,500000,15100000
1726,Unfurnished,East,,Freehold,0,9800000
1727,Furnished,,,,0,70000000
1728,Unfurnished,North,,Freehold,1000000,30000000
1729,Unfurnished,East,,Co-operative Society,0,21500000
1730,Semi-Furnished,East,,Freehold,2100000,25000000
1731,Unfurnished,,,,0,51000000
1732,Furnished,,,,0,51000000
1733,Unfurnished,,,Co-operative Society,10000000,140000000
1734,Unfurnished,,,,0,32000000
1735,Unfurnished,East,4 Covered,,0,14800000
1736,Unfurnished,East,,Freehold,0,26900000
1737,Unfurnished,West,,,1000000,34500000
1738,Unfurnished,,1 Covered,Freehold,0,16000000
1739,Furnished,East,,,0,24000000
1740,Semi-Furnished,,,,0,18000000
1741,Unfurnished,South -West,,Co-operative Society,0,18500000
1742,Semi-Furnished,East,,Co-operative Society,0,8700000
1743,Semi-Furnished,,,,0,8600000
1744,Semi-Furnished,North,"1 Covered, 1 Open",Co-operative Society,0,12500000
1745,,,,,0,31000000
1746,Semi-Furnished,East,1 Covered,Co-operative Society,0,21200000
1747,Unfurnished,,,Co-operative Society,0,27000000
1748,Semi-Furnished,East,1 Covered,Freehold,1000000,21500000
1749,Furnished,West,"1 Covered, 1 Open",Freehold,0,45000000
1750,Semi-Furnished,East,,Freehold,100000,16000000
1751,Unfurnished,,,,0,55000000
1752,Unfurnished,East,,Co-operative Society,0,14000000
1753,Unfurnished,,,,0,11500000
1754,Semi-Furnished,East,,,0,24500000
1755,Unfurnished,North,1 Covered,Freehold,100000,20000000
1756,Unfurnished,East,,Freehold,0,7800000
1757,Unfurnished,East,,Co-operative Society,0,8800000
1758,Unfurnished,East,,Freehold,0,5800000
1759,Unfurnished,,,,0,6500000
1760,Unfurnished,,,Co-operative Society,0,24000000
1761,Furnished,East,1 Open,Co-operative Society,0,31500000
1762,Semi-Furnished,North - East,1 Open,Co-operative Society,0,17500000
1763,Unfurnished,East,,Co-operative Society,0,11000000
1764,Semi-Furnished,North,1 Covered,Freehold,1000000,19500000
1765,Semi-Furnished,,1 Open,,1000000,20000000
1766,Unfurnished,West,2 Covered,Freehold,500000,35000000
1767,Semi-Furnished,East,4 Covered,Co-operative Society,0,140000000
1768,Semi-Furnished,North - West,,Co-operative Society,1900000,18000000
1769,Unfurnished,North - East,,Freehold,0,11000000
1770,Furnished,East,,Co-operative Society,51000,8500000
1771,Semi-Furnished,East,,Freehold,0,15000000
1772,Semi-Furnished,North - East,,Co-operative Society,0,19000000
1773,Furnished,East,1 Covered,Co-operative Society,3200000,22500000
1774,Unfurnished,,1 Covered,Freehold,200000,23500000
1775,Unfurnished,West,,Freehold,500000,3200000
1776,Unfurnished,North - East,,Freehold,500000,11000000
1777,Semi-Furnished,West,"1 Covered, 1 Open",Freehold,0,65000000
1778,Unfurnished,East,,Freehold,0,15000000
1779,Unfurnished,East,,Freehold,0,6200000
1780,Semi-Furnished,North - West,,Co-operative Society,0,18500000
1781,Semi-Furnished,East,1 Covered,Freehold,1950000,19500000
1782,Semi-Furnished,North,,Freehold,0,26000000
1783,Furnished,South -West,,Freehold,0,10500000
1784,Furnished,South - East,3 Open,Co-operative Society,500000,30000000
1785,Furnished,East,1 Covered,Freehold,51000,8500000
1786,Furnished,North - West,,Co-operative Society,0,37500000
1787,Unfurnished,East,,Freehold,100000,30000000
1788,Unfurnished,,2 Covered,Freehold,0,72000000
1789,Unfurnished,North - West,1 Covered,Freehold,0,19500000
1790,Unfurnished,East,,Freehold,0,24500000
1791,Unfurnished,West,,Freehold,0,12000000
1792,Semi-Furnished,North - East,1 Covered,Freehold,0,29000000
1793,Semi-Furnished,North - East,,Co-operative Society,0,8700000
1794,Unfurnished,West,,Freehold,100000,11000000
1795,Semi-Furnished,,,,0,9500000
1796,Semi-Furnished,East,1 Open,Freehold,51000,1500000
1797,Semi-Furnished,East,,Freehold,100000,6100000
1798,Semi-Furnished,South - East,,Co-operative Society,0,8500000
1799,Semi-Furnished,East,1 Open,Co-operative Society,200000,9990000
1800,Unfurnished,East,1 Covered,Co-operative Society,51000,23000000
1801,Unfurnished,North - East,2 Covered,Co-operative Society,0,29900000
1802,Unfurnished,West,1 Open,Co-operative Society,300000,2900000
1803,Unfurnished,East,,Co-operative Society,0,5500000
1804,Semi-Furnished,North - East,2 Covered,Freehold,500000,32000000
1805,Semi-Furnished,North - East,,Co-operative Society,0,31000000
1806,Unfurnished,West,1 Covered,,500000,28000000
1807,Unfurnished,East,1 Open,Freehold,51000,4100000
1808,Unfurnished,North - West,,Co-operative Society,0,40000000
1809,Furnished,North - East,,Freehold,0,22500000
1810,Unfurnished,East,,Freehold,0,28000000
1811,Unfurnished,West,2 Covered,Co-operative Society,5000000,45000000
1812,Furnished,East,"1 Covered, 1 Open",Co-operative Society,0,18000000
1813,Unfurnished,East,1 Covered,Co-operative Society,1100000,21500000
1814,Semi-Furnished,West,,Freehold,0,10000000
1815,Semi-Furnished,,,,0,7500000
1816,Furnished,North,,Freehold,500000,16800000
1817,Unfurnished,South,,Freehold,500000,18000000
1818,Semi-Furnished,South,1 Open,Freehold,151000,6800000
1819,Unfurnished,West,1 Covered,Freehold,0,23000000
1820,Unfurnished,West,1 Open,Co-operative Society,6000000,6000000
1821,Unfurnished,East,,Co-operative Society,200000,7600000
1822,,East,1 Open,Freehold,0,105000000
1823,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,0,14000000
1824,Furnished,,1 Open,Co-operative Society,0,13500000
1825,Unfurnished,West,,Freehold,0,34000000
1826,Unfurnished,East,2 Covered,Leasehold,9500000,95000000
1827,Semi-Furnished,East,,Co-operative Society,0,4300000
1828,Unfurnished,East,,Co-operative Society,500000,9000000
1829,Unfurnished,South,,Co-operative Society,0,11200000
1830,Semi-Furnished,,1 Covered,Co-operative Society,0,18900000
1831,Unfurnished,East,1 Covered,,0,15000000
1832,Unfurnished,East,,Co-operative Society,0,22000000
1833,Unfurnished,South - East,,Freehold,0,20000000
1834,Unfurnished,South,,Co-operative Society,0,35000000
1835,Semi-Furnished,,,,0,3500000
1836,Unfurnished,East,999 Covered,Freehold,500000,18000000
1837,,,,,0,30000000
1838,Semi-Furnished,East,,Freehold,0,18700000
1839,Semi-Furnished,North,1 Open,Freehold,100000,1600000
1840,Semi-Furnished,East,"1 Covered, 1 Open",Co-operative Society,2000000,22000000
1841,Unfurnished,East,1 Covered,Co-operative Society,0,14000000
1842,Unfurnished,West,,Co-operative Society,0,21000000
1843,Unfurnished,North - West,,Freehold,0,50000000
1844,Semi-Furnished,West,1 Open,Freehold,0,9600000
1845,Semi-Furnished,,1 Open,Co-operative Society,0,17000000
1846,Unfurnished,North,2 Covered,Freehold,5100000,46900000
1847,Unfurnished,East,1 Covered,Freehold,2500000,19500000
1848,Furnished,East,"1 Covered, 1 Open",Freehold,2500000,29000000
1849,Unfurnished,East,,Freehold,1100000,20500000
1850,Unfurnished,East,,Co-operative Society,0,26500000
1851,Furnished,East,,Co-operative Society,0,35000000
1852,Unfurnished,West,,Freehold,0,22800000
1853,Unfurnished,East,1 Covered,Freehold,500000,24000000
1854,Furnished,East,,Co-operative Society,0,7700000
1855,Semi-Furnished,West,,Freehold,0,6200000
1856,Unfurnished,South -West,2 Covered,Freehold,51000,25000000
1857,Furnished,East,,,100000,9200000
1858,Unfurnished,North,,Freehold,51000,3200000
1859,Furnished,East,"1 Covered, 1 Open",Co-operative Society,0,16200000
1860,Unfurnished,West,,Co-operative Society,1000000,13900000
1861,Furnished,West,1 Covered,Co-operative Society,0,13500000
1862,Furnished,East,,Freehold,0,25000000
1863,Unfurnished,West,1 Covered,Freehold,51000,29000000
1864,Semi-Furnished,East,,Freehold,0,18500000
1865,Furnished,North,2 Covered,Freehold,1000000,113500000
1866,Unfurnished,East,"1 Covered, 1 Open",Freehold,0,8600000
1867,Semi-Furnished,West,,Freehold,0,16000000
1868,Semi-Furnished,East,1 Open,Freehold,51000,8000000
1869,Furnished,West,,Freehold,1500000,11500000
1870,Unfurnished,North,,Freehold,0,17500000
1871,Semi-Furnished,East,,Co-operative Society,0,15000000
1872,Semi-Furnished,West,,Freehold,500000,11000000
1873,Furnished,North - East,,Co-operative Society,100000,20000000
1874,Unfurnished,South -West,,Co-operative Society,0,35600000
1875,Semi-Furnished,,,,0,8400000
1876,Unfurnished,West,,Freehold,51000,18500000
1877,Unfurnished,East,1 Open,Freehold,51000,2400000
1878,Unfurnished,,,,0,3200000
1879,Furnished,East,,Freehold,0,27000000
1880,Semi-Furnished,South,,Freehold,500000,25500000
1881,Semi-Furnished,East,2 Covered,,0,35000000
1882,Semi-Furnished,East,1 Open,Freehold,1100000,25000000
1883,Semi-Furnished,East,1 Open,Co-operative Society,500000,21000000
1884,Unfurnished,East,1 Open,Freehold,500000,20000000
1885,Unfurnished,South,,,500000,15000000
1886,Unfurnished,,,,0,5500000
1887,Semi-Furnished,South -West,"1 Covered, 1 Open",Freehold,1000000,9900000
1888,Furnished,North - East,1 Covered,Freehold,51000,15500000
1889,Semi-Furnished,North - East,1 Covered,Freehold,500000,16600000
1890,Semi-Furnished,East,2 Open,Co-operative Society,100000,5200000
1891,Furnished,West,1 Covered,,0,32500000
1892,Furnished,,"1 Covered, 1 Open",Co-operative Society,0,32500000
1893,Semi-Furnished,East,2 Covered,Freehold,0,29000000
1894,Semi-Furnished,South -West,2 Open,Co-operative Society,0,85000000
1895,Semi-Furnished,East,,Co-operative Society,0,6500000
1896,Semi-Furnished,West,,Co-operative Society,0,13200000
1897,Unfurnished,West,,,100000,11000000
1898,Furnished,,,,0,10000000
1899,Unfurnished,East,,Co-operative Society,100000,3400000
1900,Furnished,West,1 Covered,Freehold,2500000,25000000
1901,Furnished,,,Freehold,0,40000000
1902,Unfurnished,North,,Co-operative Society,51000,7000000
1903,Unfurnished,East,,Freehold,0,44500000
1904,Semi-Furnished,East,,Freehold,0,38000000
1905,Furnished,East,,Freehold,0,29900000
1906,Semi-Furnished,,,,0,35000000
1907,Unfurnished,East,,Freehold,0,37500000
1908,Unfurnished,East,,,200000,16000000
1909,Semi-Furnished,North,,Freehold,100000,11500000
1910,Semi-Furnished,East,,Freehold,0,55000000
1911,Unfurnished,East,1 Open,Co-operative Society,500000,2800000
1912,Semi-Furnished,West,,Freehold,500000,11300000
1913,Semi-Furnished,,,,0,17500000
1914,Semi-Furnished,East,,,2100000,47500000
1915,Furnished,East,1 Covered,Freehold,500000,21100000
1916,Semi-Furnished,South,1 Open,Co-operative Society,100000,18500000
1917,Semi-Furnished,East,,Co-operative Society,0,22000000
1918,Furnished,South - East,,Freehold,500000,30000000
1919,Furnished,East,,Freehold,1000000,11500000
1920,Furnished,East,,,1050000,10500000
1921,Semi-Furnished,,,,0,11000000
1922,Unfurnished,West,,Freehold,0,11000000
1923,Semi-Furnished,West,"1 Covered, 1 Open",Freehold,0,20000000
1924,Furnished,East,3 Covered,Freehold,1100000,67500000
1925,Furnished,,,Freehold,500000,10000000
1926,Unfurnished,East,1 Open,Freehold,51000,5500000
1927,Furnished,East,1 Covered,,0,25000000
1928,Semi-Furnished,East,,Freehold,0,41500000
1929,Unfurnished,North - West,,Freehold,0,9000000
1930,Unfurnished,East,1 Open,Freehold,51000,4500000
1931,Semi-Furnished,East,1 Open,Co-operative Society,100000,20000000
1932,Furnished,East,1 Open,Freehold,0,37500000
1933,Unfurnished,East,,Freehold,0,3650000
1934,Unfurnished,East,1 Open,Freehold,100000,4500000
1935,Semi-Furnished,,,,0,8300000
1936,Furnished,,,,2500000,70000000
1937,Unfurnished,South - East,,Co-operative Society,2500000,20000000
1938,Furnished,West,,Co-operative Society,1000000,40000000
1939,Furnished,,,,0,32500000
1940,Semi-Furnished,South -West,,Freehold,0,11800000
1941,Semi-Furnished,East,1 Open,Freehold,0,12500000
1942,Furnished,,,,0,40000000
1943,Unfurnished,North - West,,Co-operative Society,51000,4990000
1944,Semi-Furnished,North - East,,Freehold,500000,8100000
1945,Semi-Furnished,North,1 Covered,Freehold,1000000,25000000
1946,Furnished,North,,Co-operative Society,51000,11500000
1947,Semi-Furnished,East,1 Covered,Freehold,152000,15200000
1948,Unfurnished,,,,100000,16200000
1949,Unfurnished,East,2 Covered,Freehold,500000,18000000
1950,Semi-Furnished,East,1 Open,,2000000,15500000
1951,Semi-Furnished,East,1 Covered,Co-operative Society,2500000,19600000
1952,Semi-Furnished,East,1 Covered,Freehold,51000,2700000
1953,Semi-Furnished,West,2 Covered,Co-operative Society,0,55000000
1954,Furnished,West,1 Open,Co-operative Society,0,20500000
1955,Furnished,North,,Freehold,50000,3100000
1956,Semi-Furnished,East,,Co-operative Society,51000,4400000
1957,Furnished,West,,Freehold,0,21900000
1958,Unfurnished,East,1 Covered,Freehold,0,37500000
1959,Furnished,North,"2 Covered, 2 Open",Freehold,11000000,125000000
1960,Furnished,South - East,,Freehold,0,19500000
1961,Unfurnished,South,,Co-operative Society,0,11000000
1962,Unfurnished,West,,Co-operative Society,0,11200000
1963,Unfurnished,North,"1 Covered, 1 Open",Freehold,1500000,17000000
1964,Semi-Furnished,East,1 Covered,Freehold,0,17700000
1965,Unfurnished,North,,Co-operative Society,51000,12500000
1966,Semi-Furnished,,,,0,53000000
1967,Semi-Furnished,North - East,1 Covered,Freehold,0,50000000
1968,Furnished,,,,0,17000000
1969,Semi-Furnished,East,1 Covered,Freehold,0,22500000
1970,Unfurnished,West,,Co-operative Society,0,6200000
1971,Unfurnished,East,,Freehold,5000000,53500000
1972,Furnished,,,Co-operative Society,0,32500000
1973,Furnished,East,2 Covered,Freehold,0,29500000
1974,Semi-Furnished,South -West,1 Open,Freehold,3000000,14200000
1975,Furnished,,,Freehold,0,17000000
1976,Semi-Furnished,East,1 Open,Co-operative Society,0,4650000
1977,Semi-Furnished,West,,Co-operative Society,0,19000000
1978,Unfurnished,West,,Freehold,0,19500000
1979,Unfurnished,West,,Freehold,0,40000000
1980,Furnished,,,,0,32500000
1981,Furnished,South,2 Open,Freehold,0,39000000
1982,Furnished,West,1 Open,Co-operative Society,2500000,26500000
1983,Semi-Furnished,East,1 Open,Freehold,51000,9000000
1984,Unfurnished,East,,Freehold,0,22500000
1985,Unfurnished,North - East,,Freehold,0,3650000
1986,Unfurnished,South -West,1 Open,Co-operative Society,51000,4700000
1987,Semi-Furnished,West,1 Open,Co-operative Society,51000,22000000
1988,Semi-Furnished,West,1 Covered,Co-operative Society,0,15000000
1989,Semi-Furnished,East,1 Open,Freehold,100000,1650000
1990,Unfurnished,South,,Co-operative Society,0,36100000
1991,Semi-Furnished,North - East,"1 Covered, 1 Open",Co-operative Society,0,57500000
1992,Semi-Furnished,North - East,2 Covered,Co-operative Society,0,77500000
1993,Unfurnished,West,36 Covered,Freehold,0,53500000
1994,Unfurnished,East,,Leasehold,51000,7900000
1995,Furnished,North - West,1 Open,Freehold,500000,43000000
1996,Furnished,,,Co-operative Society,0,52500000
1997,Furnished,,,Co-operative Society,0,28000000
1998,Unfurnished,,,,0,23000000
1999,Semi-Furnished,East,,,0,55500000
2000,Unfurnished,East,1 Open,Co-operative Society,1000000,27500000
2001,Semi-Furnished,East,,Co-operative Society,2500000,10500000
2002,Unfurnished,East,2 Covered,Freehold,51000,23500000
2003,Semi-Furnished,West,3 Covered,Co-operative Society,1000000,112500000
2004,Semi-Furnished,East,2 Covered,Co-operative Society,0,20000000
2005,Unfurnished,,,,0,3200000
2006,Semi-Furnished,West,,Freehold,51000,18900000
2007,Unfurnished,North,1 Open,Freehold,100000,8500000
2008,Unfurnished,East,,,0,22500000
2009,Furnished,North - East,1 Open,Freehold,0,70000000
2010,Semi-Furnished,East,"1 Covered, 1 Open",Co-operative Society,0,27000000
2011,Semi-Furnished,East,,,0,26000000
2012,Furnished,East,1 Open,Freehold,51000,7500000
2013,Semi-Furnished,North - West,1 Covered,Freehold,500000,23000000
2014,Furnished,North - West,,Co-operative Society,0,21000000
2015,Semi-Furnished,,,,0,11600000
2016,Semi-Furnished,North - East,,Freehold,0,27500000
2017,Unfurnished,West,,Freehold,0,8500000
2018,Semi-Furnished,West,,Co-operative Society,0,12500000
2019,Furnished,East,,Co-operative Society,0,13500000
2020,Semi-Furnished,,,Freehold,0,17800000
2021,Unfurnished,North - East,2 Covered,Co-operative Society,0,87400000
2022,Unfurnished,South,,Co-operative Society,50000,3200000
2023,Unfurnished,East,2 Covered,Co-operative Society,0,57000000
2024,Semi-Furnished,East,,Co-operative Society,0,11500000
2025,Semi-Furnished,East,1 Open,Freehold,150000,10800000
2026,Semi-Furnished,West,,Freehold,500000,8400000
2027,Furnished,West,,Freehold,0,11500000
2028,Furnished,West,1 Covered,,0,98700000
2029,Semi-Furnished,East,1 Open,Co-operative Society,51000,5200000
2030,Unfurnished,East,,Co-operative Society,0,49500000
2031,Semi-Furnished,East,2 Covered,Freehold,0,35000000
2032,Unfurnished,West,,Co-operative Society,0,15800000
2033,Furnished,East,2 Open,Co-operative Society,0,49500000
2034,Semi-Furnished,East,,,4000000,40000000
2035,,North - East,12 Open,Freehold,0,12500000
2036,Furnished,North - West,,Co-operative Society,3000000,18000000
2037,Unfurnished,West,,Freehold,0,11000000
2038,Furnished,North - East,1 Covered,Freehold,0,12800000
2039,Furnished,North - East,1 Covered,Freehold,0,17000000
2040,Unfurnished,East,,Freehold,50000,8700000
2041,Semi-Furnished,East,1 Covered,Freehold,500000,36500000
2042,Unfurnished,East,,Freehold,200000,11900000
2043,Furnished,West,1 Open,Co-operative Society,250000,18500000
2044,Unfurnished,,,,0,6800000
2045,Unfurnished,,,Freehold,0,20500000
2046,Furnished,East,1 Open,Freehold,51000,15500000
2047,Semi-Furnished,,,Co-operative Society,0,9100000
2048,Unfurnished,West,,Freehold,0,44000000
2049,Semi-Furnished,East,,Co-operative Society,1500000,32000000
2050,Furnished,West,1 Open,Freehold,0,10000000
2051,Unfurnished,,,,2500000,26000000
2052,Unfurnished,,,,0,9500000
2053,Semi-Furnished,East,1 Open,Co-operative Society,5000000,14000000
2054,Unfurnished,West,,Freehold,0,25500000
2055,Furnished,East,1 Covered,Co-operative Society,0,22000000
2056,Semi-Furnished,North - East,,Freehold,0,37500000
2057,Furnished,,,,0,17500000
2058,Semi-Furnished,East,1 Covered,Freehold,51000,4200000
2059,Unfurnished,North,,Freehold,1000000,9000000
2060,Unfurnished,South - East,,Co-operative Society,0,7400000
2061,Unfurnished,,,Freehold,0,70000000
2062,Semi-Furnished,East,,Freehold,0,27500000
2063,Semi-Furnished,,,Freehold,0,2100000
2064,Semi-Furnished,,,,0,17500000
2065,Unfurnished,East,,Freehold,100000,7500000
2066,Unfurnished,East,,Co-operative Society,0,6400000
2067,Unfurnished,East,,Freehold,50000,4300000
2068,Semi-Furnished,East,1 Open,Freehold,51000,1200000
2069,Unfurnished,East,8 Open,Freehold,51000,3450000
2070,Unfurnished,North,,Co-operative Society,50000,4200000
2071,Semi-Furnished,West,1 Covered,Freehold,25000,29900000
2072,Semi-Furnished,East,"1 Covered, 1 Open",Co-operative Society,0,9800000
2073,Furnished,East,,Freehold,0,35000000
2074,Unfurnished,,1 Covered,Power Of Attorney,0,25000000
2075,Semi-Furnished,North - East,1 Open,Co-operative Society,0,19000000
2076,,,,,0,5000000
2077,Unfurnished,North,"1 Covered, 1 Open",Freehold,0,12000000
2078,Furnished,North,1 Covered,Co-operative Society,0,55000000
2079,Semi-Furnished,,,Co-operative Society,0,5600000
2080,Furnished,East,,Co-operative Society,0,18000000
2081,Furnished,North - East,,Freehold,0,55000000
2082,Semi-Furnished,West,,Freehold,200000,9300000
2083,Unfurnished,,2 Covered,Co-operative Society,500000,21100000
2084,Semi-Furnished,South - East,1 Open,Freehold,1100000,5800000
2085,Unfurnished,North,1 Open,Co-operative Society,170000,17000000
2086,Unfurnished,East,1 Covered,Freehold,500000,13000000
2087,Unfurnished,,,,0,1200000
2088,Semi-Furnished,West,,Freehold,0,8200000
2089,Semi-Furnished,East,,,0,18000000
2090,Unfurnished,East,,Freehold,1000000,22500000
2091,Furnished,,1 Covered,,0,15200000
2092,Furnished,South -West,,Freehold,0,16000000
2093,Unfurnished,,,,0,19800000
2094,Unfurnished,East,,Co-operative Society,0,13000000
2095,Furnished,East,1 Open,Co-operative Society,100000,8600000
2096,Semi-Furnished,East,,Co-operative Society,0,37500000
2097,Semi-Furnished,North - East,,Co-operative Society,0,36000000
2098,Furnished,North,1 Open,Freehold,0,17500000
2099,Furnished,,,,0,10500000
2100,Semi-Furnished,West,,Freehold,0,9900000
2101,Unfurnished,East,,Freehold,500000,29000000
2102,Furnished,West,,,1000000,41500000
2103,Furnished,North,1 Covered,Freehold,0,29000000
2104,Unfurnished,West,,,0,14000000
2105,Semi-Furnished,East,1 Open,Co-operative Society,51000,7000000
2106,Semi-Furnished,East,1 Open,Freehold,51000,3000000
2107,Semi-Furnished,North - West,,Co-operative Society,125000,22500000
2108,Furnished,North - East,2 Open,Co-operative Society,0,9000000
2109,Unfurnished,East,,Freehold,0,26500000
2110,Semi-Furnished,West,1 Covered,Co-operative Society,0,29000000
2111,Semi-Furnished,East,,Freehold,51000,6600000
2112,Unfurnished,East,1 Open,Co-operative Society,0,19500000
2113,Unfurnished,North - East,,Co-operative Society,500000,11000000
2114,Furnished,North - East,1 Open,Freehold,500000,35000000
2115,Unfurnished,East,,Co-operative Society,0,3750000
2116,Semi-Furnished,West,1 Open,Co-operative Society,1000000,9500000
2117,Unfurnished,North,,Freehold,0,35000000
2118,Unfurnished,West,,Freehold,100000,15200000
2119,Furnished,East,1 Open,,2500000,28500000
2120,Unfurnished,,,,0,10000000
2121,Semi-Furnished,West,,Co-operative Society,0,10000000
2122,Semi-Furnished,,,Co-operative Society,0,7500000
2123,Semi-Furnished,West,,Co-operative Society,5100000,59500000
2124,Unfurnished,East,,Co-operative Society,500000,12500000
2125,Semi-Furnished,North,"1 Covered, 1 Open",Freehold,0,6000000
2126,Furnished,,,Freehold,0,10500000
2127,Unfurnished,North - East,,Co-operative Society,0,53500000
2128,Furnished,East,,Freehold,0,12000000
2129,Semi-Furnished,South,1 Covered,Freehold,600000,61000000
2130,Furnished,East,2 Open,Co-operative Society,500000,13500000
2131,Furnished,East,,Freehold,0,11500000
2132,Semi-Furnished,West,1 Open,Freehold,0,70000000
2133,Unfurnished,East,1 Open,Freehold,51000,6200000
2134,Furnished,East,1 Open,Freehold,0,17400000
2135,Semi-Furnished,,1 Open,Freehold,500000,25000000
2136,Unfurnished,North,,Freehold,500000,11000000
2137,Unfurnished,,,,0,7000000
2138,Unfurnished,West,,Freehold,0,21000000
2139,Semi-Furnished,,,,0,27000000
2140,Semi-Furnished,,,,0,27000000
2141,Semi-Furnished,East,,Freehold,0,21500000
2142,Unfurnished,North,,Co-operative Society,0,29500000
2143,Semi-Furnished,East,1 Open,Freehold,51000,9500000
2144,Semi-Furnished,West,,Co-operative Society,2500000,19000000
2145,Unfurnished,,,,0,16500000
2146,Semi-Furnished,East,,Co-operative Society,0,27500000
2147,Unfurnished,,,,0,3200000
2148,Semi-Furnished,East,1 Open,Co-operative Society,0,17500000
2149,Semi-Furnished,East,,,0,25000000
2150,Furnished,North,1 Covered,Freehold,500000,35000000
2151,Furnished,North - East,1 Covered,Freehold,100000,19500000
2152,Semi-Furnished,East,"1 Covered, 1 Open",Co-operative Society,51000,17200000
2153,Semi-Furnished,West,1 Open,Co-operative Society,50000,6500000
2154,Semi-Furnished,East,1 Open,Freehold,0,26500000
2155,Unfurnished,East,1 Covered,Freehold,51000,17900000
2156,Unfurnished,North,,Freehold,0,39000000
2157,Semi-Furnished,,,,0,28500000
2158,Semi-Furnished,East,,Freehold,1000000,20000000
2159,Unfurnished,West,1 Covered,Freehold,1000000,59000000
2160,Furnished,East,1 Covered,Freehold,500000,24100000
2161,Unfurnished,North,1 Open,Freehold,100000,7000000
2162,Unfurnished,West,,Freehold,500000,11000000
2163,Semi-Furnished,,2 Covered,Freehold,0,61000000
2164,Unfurnished,East,1 Covered,Freehold,500000,25000000
2165,Unfurnished,South,,Freehold,0,105000000
2166,Semi-Furnished,East,1 Open,Freehold,0,32500000
2167,Furnished,North,1 Covered,Freehold,500000,27000000
2168,Semi-Furnished,West,1 Open,Freehold,0,27000000
2169,Unfurnished,East,,Co-operative Society,0,23500000
2170,Semi-Furnished,East,1 Covered,Freehold,500000,32500000
2171,Unfurnished,East,,Freehold,0,30600000
2172,Semi-Furnished,East,1 Open,Leasehold,100000,8400000
2173,Semi-Furnished,North - East,1 Open,Freehold,51000,6500000
2174,Unfurnished,South -West,,Freehold,100000,8600000
2175,Furnished,East,,Co-operative Society,0,23000000
2176,Unfurnished,East,1 Open,Freehold,0,26400000
2177,Semi-Furnished,East,1 Covered,Freehold,0,24800000
2178,Unfurnished,East,,Freehold,0,36500000
2179,Unfurnished,East,3 Covered,Freehold,5000000,99000000
2180,Semi-Furnished,,,Co-operative Society,0,34000000
2181,Semi-Furnished,West,,Freehold,0,10000000
2182,Furnished,,1 Covered,Freehold,500000,17500000
2183,Semi-Furnished,West,"1 Covered, 1 Open",Freehold,0,10000000
2184,Semi-Furnished,East,,Co-operative Society,0,13500000
2185,Semi-Furnished,North,1 Covered,Freehold,0,18000000
2186,Furnished,East,2 Covered,Freehold,2000000,75000000
2187,Furnished,East,,Freehold,500000,18500000
2188,Unfurnished,East,,Freehold,1000000,7000000
2189,Unfurnished,East,2 Covered,Co-operative Society,1,52500000
2190,Furnished,,1 Covered,Freehold,0,31000000
2191,Semi-Furnished,South,1 Covered,Co-operative Society,250000,21000000
2192,Unfurnished,East,1 Open,Freehold,0,8500000
2193,Furnished,North - East,1 Open,Freehold,500000,25000000
2194,Unfurnished,East,1 Covered,,0,17500000
2195,Furnished,East,1 Covered,Freehold,0,29500000
2196,Unfurnished,,,,0,12000000
2197,Semi-Furnished,,,,0,19000000
2198,Unfurnished,,,,0,2800000
2199,Unfurnished,,,Co-operative Society,0,26000000
2200,Semi-Furnished,East,,Freehold,5000000,100000000
2201,Unfurnished,,,Freehold,0,13000000
2202,Semi-Furnished,South -West,,Co-operative Society,900000,16000000
2203,Unfurnished,West,,Freehold,0,16200000
2204,Unfurnished,,1 Covered,Freehold,5,29000000
2205,Unfurnished,,,,0,42500000
2206,Unfurnished,South,,Freehold,0,20000000
2207,Semi-Furnished,,,,0,3200000
2208,Unfurnished,East,,Freehold,1100000,16500000
2209,Semi-Furnished,South,1 Covered,Freehold,0,12500000
2210,Furnished,South -West,1 Open,Freehold,1100000,22500000
2211,Unfurnished,East,,Freehold,0,65000000
2212,Semi-Furnished,East,1 Covered,Co-operative Society,0,17000000
2213,Unfurnished,North - East,1 Covered,Freehold,500000,10500000
2214,Unfurnished,East,1 Covered,Freehold,100000,8280000
2215,Unfurnished,East,,Freehold,0,7050000
2216,Unfurnished,East,,Freehold,900000,51500000
2217,Semi-Furnished,East,1 Open,Freehold,54000,5040000
2218,Unfurnished,East,1 Open,Co-operative Society,15000000,7800000
2219,Semi-Furnished,East,1 Covered,Freehold,500000,17500000
2220,Semi-Furnished,East,,Co-operative Society,0,3800000
